City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,28.15,95,62,2.35,AR,1723414493
1,whitehorse,60.7161,-135.0538,59.31,51,88,18.01,CA,1723414578
2,sabang,5.8933,95.3214,81.68,76,100,22.35,ID,1723414579
3,glendive,47.1053,-104.7125,65.82,77,0,3.44,US,1723414581
4,albany,42.6001,-73.9662,71.89,63,79,5.93,US,1723414507
5,borovskoy,53.8,64.15,56.73,74,100,6.06,KZ,1723414583
6,margaret river,-33.95,115.0667,58.44,70,77,21.3,AU,1723414584
7,hermanus,-34.4187,19.2345,54.54,73,85,8.77,ZA,1723414586
8,jamestown,42.097,-79.2353,69.03,73,0,10.36,US,1723414587
9,saint-francois,46.4154,3.9054,76.64,79,0,0.0,FR,1723414588
10,uturoa,-16.7333,-151.4333,77.74,78,60,12.17,PF,1723414589
11,edinburgh of the seven seas,-37.0676,-12.3116,58.77,91,100,28.05,SH,1723414590
12,port-aux-francais,-49.35,70.2167,39.65,97,100,28.95,TF,1723414591
13,labuan,5.2767,115.2417,81.68,76,100,2.84,MY,1723414471
14,kodiak,57.79,-152.4072,62.11,48,20,10.36,US,1723414593
15,revda,56.801,59.9303,50.81,83,92,6.04,RU,1723414595
16,puerto ayora,-0.7393,-90.3518,70.56,88,56,7.0,EC,1723414596
17,kununurra,-15.7667,128.7333,55.38,76,6,0.0,AU,1723414597
18,morinville,53.8001,-113.652,84.47,30,8,11.23,CA,1723414598
19,waitangi,-43.9535,-176.5597,50.83,78,72,7.0,NZ,1723414599
20,fortuna,40.5982,-124.1573,67.93,79,0,17.27,US,1723414600
21,prado,-17.3411,-39.2208,70.93,86,100,7.36,BR,1723414601
22,saldanha,-33.0117,17.9442,54.25,81,62,0.56,ZA,1723414602
23,richards bay,-28.783,32.0377,66.58,75,74,8.08,ZA,1723414604
24,timbuktu,16.7735,-3.0074,85.3,51,81,12.26,ML,1723414605
25,st. john's,47.5649,-52.7093,68.14,91,75,6.91,CA,1723414606
26,grytviken,-54.2811,-36.5092,15.37,66,80,4.38,GS,1723414607
27,port mathurin,-19.6833,63.4167,71.53,74,96,23.42,MU,1723414608
28,adamstown,-25.066,-130.1015,64.42,61,89,17.52,PN,1723414609
29,senanga,-16.1167,23.2667,63.0,22,0,6.4,ZM,1723414610
30,utrik,11.2278,169.8474,82.58,79,77,16.02,MH,1723414611
31,badger,64.8,-147.5333,60.71,51,75,5.75,US,1723414613
32,olonkinbyen,70.9221,-8.7187,37.31,88,100,11.65,SJ,1723414614
33,atafu village,-8.5421,-172.5159,83.61,73,15,17.9,TK,1723414615
34,bredasdorp,-34.5322,20.0403,51.49,84,100,4.5,ZA,1723414616
35,ribeira grande,38.5167,-28.7,68.77,73,61,5.99,PT,1723414617
36,bakchar,57.0186,82.0711,47.52,98,17,4.45,RU,1723414618
37,papatowai,-46.5619,169.4708,44.46,78,88,19.13,NZ,1723414619
38,katsuura,35.1333,140.3,83.28,85,33,17.16,JP,1723414620
39,okhotsk,59.3833,143.3,57.09,81,100,8.37,RU,1723414622
40,tofol,5.3248,163.0078,83.37,71,19,5.46,FM,1723414623
41,puerto natales,-51.7236,-72.4875,39.65,87,100,6.91,CL,1723414497
42,talnakh,69.4865,88.3972,55.54,62,83,3.74,RU,1723414625
43,oldenburg in holstein,54.3,10.8833,55.06,89,90,7.87,DE,1723414626
44,iqaluit,63.7506,-68.5145,46.13,65,20,20.71,CA,1723414627
45,lianshan,40.7643,120.8533,71.74,94,11,9.91,CN,1723414628
46,toliara,-23.35,43.6667,69.51,73,0,2.62,MG,1723414629
47,anadyr,64.75,177.4833,52.3,62,0,22.37,RU,1723414631
48,thunder bay,48.4001,-89.3168,73.18,53,87,2.53,CA,1723414632
49,severo-yeniseyskiy,60.3725,93.0408,47.8,97,62,4.54,RU,1723414633
50,sitka,57.0531,-135.33,60.69,67,100,11.5,US,1723414634
51,labytnangi,66.6572,66.4183,58.75,52,100,13.38,RU,1723414635
52,inhambane,-23.865,35.3833,70.75,62,0,11.23,MZ,1723414636
53,nova vicosa,-17.8919,-39.3719,72.18,82,100,7.49,BR,1723414637
54,portage la prairie,49.9728,-98.2926,77.9,38,10,2.44,CA,1723414638
55,saipan,15.1355,145.701,81.3,94,0,6.91,MP,1723414640
56,freeport,40.6576,-73.5832,81.61,54,0,12.66,US,1723414641
57,kirakira,-10.4544,161.9205,77.65,86,100,13.65,SB,1723414642
58,qaqortoq,60.7167,-46.0333,43.68,91,100,6.78,GL,1723414643
59,isafjordur,66.0755,-23.124,44.15,91,100,6.35,IS,1723414646
60,enewetak,11.3474,162.3373,83.48,76,100,14.27,MH,1723414647
61,sidney,-33.8679,151.2073,54.7,90,40,6.91,AU,1723414444
62,egersund,58.4513,5.9997,55.11,81,52,11.99,NO,1723414650
63,canmore,51.0834,-115.3521,67.39,100,74,1.97,CA,1723414651
64,woolgoolga,-30.1106,153.2007,61.2,93,100,19.57,AU,1723414652
65,madang,-5.2246,145.7966,77.81,90,64,1.28,PG,1723414653
66,bilibino,68.0546,166.4372,46.17,82,100,14.45,RU,1723414654
